"X","Authors","Title","Year","Journal","DOI","Affiliations","Keywords","Tema","Citas","Pais"
1,"Maita-Cruz Y.M., Flores-Sotelo W.S., Maita-Cruz Y.A., Cotrina-Aliaga J.C.","Artificial intelligence in public management in times of Covid-19 [Inteligencia artificial en la gestión pública en tiempos de Covid-19]",2022,"Revista de Ciencias Sociales","10.31876/rcs.v28i.38167","Universidad Cesar Vallejo, Peru; Hospital de Emergencias José Casimiro Ulloa, Peru; Universidad Privada San Juan Bautista, Ex Hacienda Villa Av José Antonio Lavalle s/n, Chorrillos, 15067, Peru","Artificial intelligence; Covid-19; Impact; Public management; Technology","AI",3,"Peru"
2,"Vásquez P.C., Pirela M.A., Scholz F.B., Hauri S.B., Fuenzalida J.P.D., González D.F.","Teaching and learning law and artificial intelligence in Chile: On the minor in Artificial Intelligence and Law at the Universidad Autónoma de Chile [Ensinar e aprender inteligência artificial e direito no Chile: Sobre o menor em Inteligência Artificial e Direito na Universidad Autónoma de Chile] [Enseñanza y aprendizaje de la inteligencia artificial y derecho en Chile: Sobre el minor en Inteligencia Artificial y Derecho de la Universidad Autónoma de Chile]",2021,"Revista Pedagogia Universitaria y Didactica del Derecho","10.5354/0719-5885.2021.64456","Universidad Autónoma de Chile, Chile","Artificial intelligence; Curriculum innovation; Digital skills; Inter-disciplinarity; Minor","AI",1,"Chile"
3,"Sierra J.J.A., Ávila Y.C.","Application of artificial intelligence and blockchain in contract law [Aplicabilidad de la inteligencia artificial y la tecnología blockchain en el derecho contractual privado]",2020,"Revista de Derecho Privado","10.18601/01234366.N38.05","Universidad Nacional de Colombia, Bogotá, Colombia","Artificial intelligence; Blockchain; Private law; Smart contracts","AI",4,"Colombia"
4,"Gargallo M.M.M.","The concept of inventor in patent law and artificial intelligence systems [El concepto de inventor en el derecho de patentes y los sistemas de inteligencia artificial]",2020,"Cuadernos de Derecho Transnacional","10.20318/cdt.2020.5619","Universidad de Santiago de Compostela, Spain","Artificial intelligence; Inventor; Patent law","AI",1,"Spain"
5,"Ufarte-Ruiz M.-J., Murcia-Verdú F.-J., Túñez-López J.-M.","Use of artificial intelligence in synthetic media: first newsrooms without journalists",2023,"Profesional de la Informacion","10.3145/EPI.2023.MAR.03","Universidad de Castilla-La Mancha, Campus Cuenca, Edificio Polivalente Campus Universitario, s/n, Cuenca, 16071, Spain; Universidade de Santiago de Compostela, Facultad de Ciencias de la Comunicación, Dpto. de Ciencias de la Comunicación, Av. de Castelao, s/n. Campus Norte, Santiago de Compostela, 15782, Spain","AI; Artificial intelligence; Artificial journalism; Automation; Bots; Digital native media; Journalistic profession; Journalists; News production; Newsrooms without journalists; Robotized journalism; Synthetic journalism; Synthetic media","AI",0,"Spain"
6,"Caldés R.G.","Big data and artificial intelligence in public sector human resource management [Big data e inteligencia artificial en la gestión de los recursos humanos del sector público]",2019,"Revista Catalana de Dret Public","10.2436/rcdp.i58.2019.3276","Universitat de Barcelona, Spain; Universitat Oberta de Catalunya (UOC), Estudios de Derecho y Ciencia Política, Parc Mediterrani de la Tecnologia (edifici B3), Av. Carl Friedrich Gauss, 5, Castelldefels, 08860, Spain","Artificial intelligence; Automation; Big data; Public employment; Recruitment","AI",6,"Spain"
7,"Garrido R.L., Comino A., Flores P.M.","Women in the Monumental Catalogue of Spain: archaeological discourses on Prehistory and Iron Age for the provinces of Ávila, Soria and Burgos [Mujeres en el Catalogo Monumental de Espana: discursos arqueologicos sobre Prehistoria y Edad del Hierro en las provincias de Avila, Soria y Burgos]",2022,"Complutum","10.5209/cmpl.80895","Departamento de Prehistoria, Historia Antigua y Arqueologia, Universidad de Salamanca, C/ Cervantes s/n, Salamanca, 37002, Spain; Antiquity & Middle Ages Research Centre, IE University, C/ Cardenal Zuniga 12, Segovia, 40003, Spain; Digital Humanities Hub - History Department, Lancaster University. Department of History, FASS. B005, Bowland College, Lancaster, LA1 4YW, United Kingdom","Artificial Intelligence; Gender; Iron Age Archaeology; Monumental Catalogue of Spain; Prehistoric Archaeology; Text Analysis","AI",0,"United Kingdom"
8,"Rangel C.","Artificial Intelligence as an ally in monitoring commercial content harmful to children on the Internet [Inteligencia Artificial como aliada en la supervisión de contenidos comerciales perjudiciales para menores en Internet]",2022,"Revista Mediterranea de Comunicacion","10.14198/MEDCOM.20749","Universidad Complutense de Madrid, Spain","Advertising; Artificial intelligence; DSA; Legislation; LGCA","AI",0,"Spain"
9,"Mendizá C.A., Jiménez N.Z.","GOVERNANCE OF ROBOTS FOR THEIR PROPER IMPACT ON SOCIETY: WHAT TOOLS ARE AVAILABLE? [EL BUEN GOBIERNO DE LOS ROBOTS PARA SU CORRECTO IMPACTO EN LA SOCIEDAD: ¿QUÉ HERRAMIENTAS EXISTEN?]",2021,"Arbor","10.3989/arbor.2021.802003","Universidad Complutense de Madrid, Spain","Artificial Intelligence; COVID-19; Data protection; Liability; Regulation; Robotics","AI",1,"Spain"
10,"Palomino Guerrero M.","Artificial intelligence: a mechanism to stop tax evasion without violating the taxpayer's rights [Inteligencia artificial: un mecanismo para frenar la evasión fiscal sin vulnerar los derechos del contribuyente]",2022,"Cuestiones Constitucionales","10.22201/iij.24484881e.2022.46.17053","Facultad de Derecho, UNAM, Mexico","artificial intelligence; erosion; simulation; topology","AI",0,"Mexico"
11,"Albores E.L.I.","Netflix: A Comparative Analysis of User Consumption Habits Before and During the Pandemic [Netflix: análise comparativa do consumo dos usuários antes e durante a pandemia] [NETFLIX: ANÁLISIS COMPARATIVO DEL CONSUMO DE LOS USUARIOS ANTES Y DURANTE LA PANDEMIA]",2022,"Anuario Electronico de Estudios en Comunicacion Social Disertaciones","10.12804/revistas.urosario.edu.co/disertaciones/a.11140","Universidad Autónoma de Barcelona, Spain","Algorithms; Artificial intelligence; Audiovisual consumption; COVID-19; Netflix; Pandemic; Quarantine","AI",0,"Spain"
12,"Del Pilar Rumiche Chávarry R., Terrón A.M., Ariza J.M.R., Chinguel G.R.C.","Social implications of the emergence of Big Data and robotics: A prospective analysis in Hispanic American teachers [Implicaciones sociales de la irrupción del Big Data y la robótica: un análisis prospectivo en docentes hispanoamericanos]",2023,"Revista Electronica Interuniversitaria de Formacion del Profesorado","10.6018/reifop.543871","Universidad Católica Santo Toribio de Mogrovejo, Peru; Universidad de Málaga, Spain; Instituto de Tecnologías Para la Educación, Peru","Artificial intelligence; Big Data; Robots; Teachers","AI",0,"Peru"
13,"López-García X., Vizoso Á.","High-tech journalism: A sign of the digital era of the third millennium [Periodismo de alta tecnología: Signo de los tiempos digitales del tercer milenio]",2021,"Profesional de la Informacion","10.3145/epi.2021.may.01","Universidade de Santiago de Compostela, Facultade de Ciencias da Comunicación, Campus Norte, Avda. de Castelao, s/n, Santiago de Compostela (A Coruña), 15782, Spain","AI; Artificial intelligence; Digital journalism; Digital transition; Drones; High technology; Journalistic metamorphosis; Machine lear-ning; Virtual reality","AI",9,"Spain"
14,"Ufarte Ruiz M.J., Manfredi Sánchez J.L.","Algorithms and bots applied to journalism. The case of Narrativa Inteligencia Artificial: Structure, production and informative quality [Algoritmos y bots aplicados al periodismo. El caso de Narrativa Inteligencia Artificial: Estructura, producción y calidad informativa]",2019,"Doxa Comunicacion","10.31921/doxacom.n29a11","University of Castilla-La Mancha, Spain","Algorithmic journalism; Artificial intelligence; Automated journalism; Informative quality; Production","AI",16,"Spain"
15,"Rodríguez J.A., Santana M.G., Perera M.V.A., Pulido J.R.","Embodied conversational agents: Artificial intelligence for autonomous learning [Agente conversacional virtual: la inteligencia artificial para el aprendizaje autónomo]",2021,"Pixel-Bit, Revista de Medios y Educacion","10.12795/PIXELBIT.86171","Facultad de Ciencias de la Educación, Universidad de Las Palmas de Gran Canaria, Spain","Artificial intelligence; Embodied conversational agents; Tutoring; University education","AI",1,"Spain"
16,"Ortiz de Zárate Alcarazo L.","Explainable ArtificiaI Intelligence [Explicabilidad (de la inteligencia artificial)]",2022,"Eunomia. Revista en Cultura de la Legalidad","10.20318/eunomia.2022.6819","Universidad Autónoma de Madrid, Spain","accountability; algorithmic governance; Artificial Intelligence; ethics; ethics of Artificial Intelligence; explainability; interpretability","AI",0,"Spain"
17,"Genís C.T., Moratalla L.D.","White and Cold as The North Pole and The South Pole: Human Beings and Robots [Blanco y Frío como El Polo Norte y El Polo Sur: Seres Humanos y Robots]",2022,"Sociologia y Tecnociencia","10.24197/st.1.2022.257-275","Institut de Robòtica i Informàtica Industrial, CSIC, UPC, Spain; Universidad de Alicante, Spain","artificial intelligence; disability; Robotics; sexuality","AI",0,"Spain"
18,"Medina G.S., Reséndiz P.O.R.","Artificial intelligence in the documentary processes of digital sound archives [Inteligencia artificial en los procesos documentales de los archivos digitales sonoros]",2022,"Investigacion Bibliotecologica","10.22201/iibi.24488321xe.2022.93.58618","Instituto de Investigaciones Bibliotecológicas y de la Información, Universidad Nacional Autónoma de México, Mexico","Artificial intelligence; Digital sound archives; Digital sound objects; Documentary processes","AI",0,"Mexico"
19,"Avaro D.","THE ARTIFICIAL INTELLIGENCE INDUSTRY: A RACE FOR LEADERSHIP [LA INDUSTRIA DE LA INTELIGENCIA ARTIFICIAL: UNA CARRERA POR SU LIDERAZGO]",2022,"Problemas del Desarrollo","10.22201/IIEC.20078951E.2023.212.69959","Consejo Nacional de Investigaciones Científicas y Técnicas, Argentina","artificial intelligence (AI); China; Social Credit System; standardization","AI",0,"Argentina"
20,"Pena A.M.N.","Artificial intelligence and precautionary guardianship. Special reference to pre-trial detention [Inteligencia artificial y tutela cautelar. Especial referencia a la prisión provisional]",2021,"Revista Brasileira de Direito Processual Penal","10.22197/RBDPP.V7I3.618","Universidade da Coruña, Spain","Artificial intelligence; Pre-trial detention; Procedural safeguards; Risk assessment","AI",0,"Spain"
21,"Sánchez-Holgado P., Marcos-Ramos M., Domínguez B.G.G.","Gender differences regarding spanish citizens’ perception of data science [Diferencias de género en la percepción de la ciudadanía española sobre la ciencia de datos]",2021,"Doxa Comunicacion","10.31921/doxacom.n33a1126","University of Salamanca, Spain","Artificial Intelligence; Big Data; Data science; Gender; Scientific communication","AI",1,"Spain"
22,"Verdú F.J.M., Antón R.R., Rubio L.M.C.","Comparative analysis of the sports chronicle quality written by artificial intelligence and journalists [Análisis comparado de la calidad de crónicas deportivas elaboradas por inteligencia artificial y periodistas]",2022,"Revista Latina de Comunicacion Social","10.4185/RLCS-2022-1553","Universidad de Castilla-La Mancha, Spain","artificial intelligence; chronicle; content automation; journalism; journalistic production; quality; sports journalism","AI",0,"Spain"
23,"Puerto D.A., Gutiérrez-Esteban P.","Artificial Intelligence as an Educational Resource during Preservice Teacher Training [La Inteligencia Artificial como recurso educativo durante la formación inicial del profesorado]",2022,"RIED-Revista Iberoamericana de Educacion a Distancia","10.5944/ried.25.2.32332","Universidad de Extremadura, Spain","artificial intelligence; educational technology; preservice teacher education","AI",1,"Spain"
24,"Benlloch Domènech C., Sarrión Esteve J.","Fundamental rights and aporias of the digital age [Los derechos fundamentales ante las aporías de la era digital]",2022,"Cuestiones Constitucionales","10.22201/iij.24484881e.2022.46.17046","Universitat de València, Spain; Universidad Nacional de Educación a Distancia (UNED), Spain","artificial intelligence; digital transformation; fundamental rights; smart technologies","AI",0,"Spain"
25,"Cascón-Katchadourian J.-D.","Technologies to fight the Covid-19 pandemic: Geolocation, tracking, big data, GIS, artificial intelligence, and privacy [Tecnologías para luchar contra la pandemia Covid-19: Geolocalización, rastreo, big data, SIG, inteligencia artificial y privacidad]",2020,"Profesional de la Informacion","10.3145/epi.2020.jul.29","Universidad de Granada Facultad de Comunicación y Documentación Campus, Universitario de Cartuja Edificio Máximo, Granada, 18071, Spain","Apps; Artificial intelligence; Big data; Chatbots; Coronavirus; Covid-19; Data protection; Geographic information systems; Geolocation; Geopositioning; GIS; Pandemics; Privacy; Tracking; Webs","AI",7,"Spain"
26,"Vargas-Sierra C.","THE TRANSLATOR'S WORK-STATION IN THE AGE OF ARTIFI-CIAL INTELLIGENCE. TOWARDS KNOWLEDGE-ASSISTED TRANS-LATION [La estacion de trabajo del traductor en la era de la inteligencia artificial. Hacia la traduccion asistida por conocimiento]",2020,"Pragmalinguistica","10.25267/Pragmalinguistica.2020.i28.09","Departamento de Filología Inglesa, Universidad de Alicante, Carretera San Vicente del Raspeig s/n,San Vicente del Raspeig, Alicante, 03690, Spain","artificial intelligence; computer-assisted translation; knowledge-assisted translation; translator's workstation","AI",2,"Spain"
27,"Túñez-López J.-M., Toural-Bran C., Cacheiro-Requeijo S.","Automated-content generation using news-writing bots and algorithms: Perceptions and attitudes amongst Spain's journalists [Uso de bots y algoritmos para automatizar la redacción de noticias: Percepción y actitudes de los periodistas en España]",2018,"Profesional de la Informacion","10.3145/epi.2018.jul.04","Universidade de Santiago de Compostela, Facultade de Ciencias da Comunicación, Avenida Castelao, s/n., Santiago de Compostela, 15782, Spain","Artificial intelligence; Automation; Bots; Journalistic profession; Journalists; Newsmaking; Online journalism","AI",50,"Spain"
28,"García-Orosa B., Canavilhas J., Vázquez-Herrero J.","Algorithms and communication: A systematized literature review [Algoritmos y comunicación: Revisión sistematizada de la literatura]",2023,"Comunicar","10.3916/C74-2023-01","Department of Communication Sciences, Universidade de Santiago de Compostela, Spain; Department of Communication, Philosophy and Politics, Universidade da Beira Interior, Portugal","Artificial intelligence; Communication; Democracy; Journalism; Public opinion; Review","AI",0,"Portugal"
29,"Calvo-Rubio L.-M., Ufarte-Ruiz M.-J.","Perception of teachers, students, innovation managers and journalists about the use of artificial intelligence in journalism [Percepción de docentes universitarios, estudiantes, responsables de innovación y periodistas sobre el uso de inteligencia artificial en periodismo]",2020,"Profesional de la Informacion","10.3145/epi.2020.ene.09","Universidad de Castilla-La Mancha Campus, Cuenca Edificio Polivalente, Campus Universitario, s/n, Cuenca, 16071, Spain","AI; Algorithmic journalism; Artificial intelligence; Automated journalism; Emerging technologies; High-tech journalism; Information and communications technologies; Journalism; Journalists; Profession; Robojournalism; Robot journalism; Robot journalists","AI",13,"Spain"
30,"Pinto-Hidalgo J.J., Silva-Centeno J.A.","AmazonCRIME: a Geospatial Artificial Intelligence dataset and benchmark for the classification of potential areas linked to Transnational Environmental Crimes in the Amazon Rainforest [AmazonCRIME: un conjunto de datos y punto de referencia de Inteligencia Artificial Geoespacial para la clasificación de áreas potenciales vinculadas a Crímenes Ambientales Transnacionales en la Selva Amazónica]",2022,"Revista de Teledeteccion","10.4995/raet.2022.15710","Ciencias Geodésicas, Universidade Federal do Paraná, Av. Coronel Francisco Heráclito dos Santos, 210, Jardim das Américas, Curitiba, Brazil","Amazon rainforest; Geospatial artificial intelligence; Geospatial intelligence; Sentinel-2; Transnational environmental crimes","AI",1,"Brazil"
31,"Vigevano M.R.","Artificial intelligence in armed conflicts: Legal and ethical limits [Inteligencia artificial aplicable a los conflictos armados: Límites jurídicos y éticos]",2021,"Arbor","10.3989/arbor.2021.800002","Universidad de Buenos Aires, Argentina","Armed conflicts; Artificial Intelligence (AI); Ethic; International humanitarian law; Targeting","AI",0,"Argentina"
32,"Serrano-Cobos J.","Internet technology trends: Towards a paradigm shift [Tendencias tecnológicas en internet: Hacia un cambio de paradigma]",2016,"Profesional de la Informacion","10.3145/epi.2016.nov.01","Universidad Politécnica de Valencia, Departamento de Comunicación Audiovisual, Documentación e Historia del Arte, Grupo de investigación Trademetrics, Camí de Vera, s/n., Valencia, 46022, Spain","Artificial intelligence; Big data; Digital transformation; Human computer interaction; Information technologies; Innovation; Interaction; Internet; Marketing; Personalization; Trends","AI",24,"Spain"
33,"Gómez Rodríguez J.M.","Artificial intelligence and neurorights. Challenges and perspectives [Inteligencia artificial y neuroderechos. Retos y perspectivas]",2022,"Cuestiones Constitucionales","10.22201/iij.24484881e.2022.46.17049","Universidad Autónoma del Estado de Morelos, Mexico","algorithm; artificial intelligence; deep learning; machine learning; neurorights; neuroscience; neurotechnology","AI",0,"Mexico"
34,"Mellado C., Cárcamo-Ulloa L., Alfaro A., Inai D., Isbej J.","News sources during covid-19: How the chilean media narrated the pandemic on social media [Fuentes informativas en tiempos de covid-19: Cómo los medios en chile narraron la pandemia a través de sus redes sociales]",2021,"Profesional de la Informacion","10.3145/epi.2021.jul.21","Universidad Católica de Valparaíso Escuela de Periodismo Avenida Universidad, 330 Campus Curauma, Valparaíso, Chile; Universidad Austral de Chile Instituto de Comunicación Social Campus Isla Teja Independencia, 641, Valdivia, Chile; Universidad Alberto Hurtado Departamento de Periodismo, Almirante Barroso, 10, Santiago, Chile; Universidad Austral de Chile Programa de Doctorado en Comunicación UFRO-UACh Independencia, 641, Valdivia, Chile; Pontificia Universidad Católica de Valparaíso Escuela de Periodismo, Avenida Universidad, 330 Campus Curauma, Valparaíso, Chile","Artificial intelligence; Chile; Coronavirus; Covid-19; Facebook; Health communication; Instagram; Journalism; Media; Natural-language programming; News; Pandemics; Social media; Social networks; Twi-tter","AI",3,"Chile"
35,"Vásquez C.S., José Alberto T.-V.","The right to human control: A legal response to artificial intelligence [El derecho al control humano: Una respuesta jurídica a la inteligencia artificial]",2021,"Revista Chilena de Derecho y Tecnologia","10.5354/0719-2584.2021.58745","Universidad EAFIT, Colombia","Artificial intelligence; Fundamental rights; Human control","AI",0,"Colombia"
36,"Flores-Ruiz D., Miedes-Ugarte B., Wanner P.","Relational Intelligence, Artificial Intelligence and Citizen Participation. The Case of the Cooperative Digital Platform Les Oiseaux de Passage [Inteligencia relacional, inteligencia artificial y participación ciudadana. El caso de la plataforma digital cooperativa Les Oiseaux de Passage]",2021,"Recerca","10.6035/recerca.5514","Universidad de Huelva, Spain; Université Paris Diderot, France","artificial intelligence; collaborative digital platforms; collective intelligence; cooperativism; heritage communities; participation; social economy","AI",0,"France"
37,"Martínez I.J.M., Terrón J.M.A., Cobarro P.H.S.","Smart Advertising: AI-Driven Innovation and Technological Disruption in the Advertising Ecosystem [Smart Advertising: Innovación y disrupción tecnológica asociadas a la IA en el ecosistema publicitario]",2022,"Revista Latina de Comunicacion Social","10.4185/RLCS-2022-1693","Universidad de Murcia, Spain","advertising; artificial intelligence; automation; big data; creativity; deepfake; programmatic","AI",1,"Spain"
38,"Cardona E.C., Duarte S.L.M., Torres E.F.O., Mateus L.M.F.","Resocialization of the penalty: Challenges from the new information and communication technologies [Resocialización de la pena: Retos desde las nuevas tecnologías de la información y la comunicación]",2022,"Revista de Ciencias Sociales","10.31876/rcs.v28i4.39132","Universitaria Remington, Medellín, Colombia; Universitaria Remington, Sede Bucaramanga, Colombia","Artificial intelligence; Criminal conviction; Information and communication technologies; Penitentiary and prison establishment; Resocialization of the penalty","AI",0,"Colombia"
39,"Apolo Valdivia P.R.","The future of the music industry in the era of artificial intelligence [El futuro de la industria musical en la era de la inteligencia artificial]",2022,"Artnodes","10.7238/artnodes.v0i30.399485","Universidad Nacional Mayor de San Marcos, Peru","applicative albums; artificial intelligence; computer-assisted music; music industry; musical production","AI",0,"Peru"
40,"Masseno M.D.","Brief Considerations on the Foundations of the Proposal of Artificial Intelligence Act from the European Commission [CONSIDERAÇÕES BREVES SOBRE OS FUNDAMENTOS DA PROPOSTA DE REGULAMENTO INTELIGÊNCIA ARTIFICIAL DA COMISSÃO EUROPEIA] [CONSIDERACIONES BREVES SOBRE LOS FUNDAMENTOS DE LA PROPUESTA DE LEY DE INTELIGENCIA ARTIFICIAL DE LA COMISIÓN EUROPEA]",2022,"Journal of Law and Sustainable Development","10.37497/sdgs.v10i1.238","Proteção de Dados, Instituto Politécnico de Beja, Portugal","Artificial Intelligence; European Union; Human Dignity; Legislative Procedure; Risks","AI",0,"Portugal"
41,"Gil V.B., Gómez-Olmedo R.G.","Descripción automática de archivos audiovisuales: NeuralTalk, un modelo de video2text aplicado al archivo de RTVE",2018,"BiD","10.1344/BID2018.41.7","Responsable de proyectos Fondo, Documental de RTVE, Spain; Científico de datos, BEEVA, Spain","Artificial intelligence; Audiovisual archives; Audiovisual documents; Computer programs; Mass media archives; Radiotelevisión Española; Subject cataloguing","AI",1,"Spain"
42,"Rivas-De-roca R.","Opportunities for robotization in local journalism: The case of ‘mittmedia’ [Oportunidades de la robotización en el periodismo local: El caso de ‘mittmedia’]",2021,"Index.comunicacion","10.33732/ixc/11/02Oportu","Universidad de Sevilla, Spain","Artificial Intelligence; Audience Engagement; Business Models; Hi-Tech Journalism; Local Media; Robotization","AI",1,"Spain"
43,"Essenfelder R., Canavilhas J., Maia H.C., Pinto R.J.","Automated News in Brazilian television: A case study on the AIDA system (Globo-Brazil) [Automatización de textos periodísticos en la televisión brasileña: Estudio de caso del sistema AIDA (Globo-Brasil)]",2019,"Doxa Comunicacion","10.31921/doxacom.n29a13","Escola Superior de Propaganda e Marketing (ESPM), Brazil; Universidade da Beira Interior, Covilha, Portugal; Universidade Fernando Pessoa, Porto, Portugal","AIDA; Artificial intelligence; Automation; Innovation; Journalism","AI",3,"Portugal"
44,"Sánchez J.L.M., Ruiz M.J.U.","Artificial intelligence and journalism: A tool to fight disinformation [Inteligencia artificial y periodismo: Una herramienta contra la desinformación]",2020,"Revista CIDOB d'Afers Internacionals","10.24241/RCAI.2020.124.1.49","Periodismo internacional, Universidad de Castilla-La Mancha, Spain; Redacción periodística, Universidad de Castilla-La Mancha, Spain","Artificial intelligence (AI); Censorship; Citizenship; Disinformation; Journalism; Propaganda","AI",12,"Spain"
45,"Rementeria-Sanz S.","The aesthetic factor in the automation of logical tasks: The case of chess [El factor estético en la automatización de tareas lógicas: El caso del ajedrez]",2020,"Artnodes","10.7238/a.v0i26.3338","GAIKER Technology Centre, Basque Research and Technology Alliance (BRTA), Spain","Aesthetics; Artificial intelligence; Computer chess; Decision making; Machine learning","AI",1,"Spain"
46,"Ussa G.D.C., Álvarez-Aros E.L., Miranda F.C.","Industry 4.0 and its applications in the military: strategic opportunity for Latin America [La industria 4.0 y sus aplicaciones en el ámbito militar: oportunidad estratégica para Latinoamérica]",2022,"Revista Cientifica General Jose Maria Cordova","10.21830/19006586.882","Universidad Popular Autónoma del Estado de Puebla, Mexico; Universidad Juan de Castellanos, Tunja, Colombia","artificial intelligence; industrial development; internet of things; military technology; scientific innovation","AI",0,"Colombia"
47,"Abarca-Alvarez F.J., Pérez-Campaña R., Talavera-Garcia R.","The identification of spatial patterns in city limits through self-organized maps of the centrality of the road network [Identificación de patrones espaciales del borde urbano mediante mapas auto-organizados de la centralidad de la red viaria]",2017,"Urbano","10.22320/07183607.2017.20.36.02","Universidad de Granada, Spain","Artificial intelligence; Maps; Road infrastructure; Suburban areas; Urban morphology","AI",1,"Spain"
48,"Sánchez A.L., Lara A.G.","Assessment of a serious game that may contribute to improving logical-mathematical reasoning in high school students [Evaluación de un juego serio que contribuye a fortalecer el razonamiento lógicomatemático en estudiantes de nivel medio superior]",2021,"RIED-Revista Iberoamericana de Educacion a Distancia","10.5944/ried.24.1.27450","Universidad Autónoma de Nuevo León, UANL, México, Spain","Artificial intelligence; Information technology; Learning","AI",2,"Spain"
49,"Ruiz M.J.U., Rubio L.M.C., Verdú F.J.M.","The ethical challenges of journalism in the era of artificial intelligence [Los desafíos éticos del periodismo en la era de la inteligencia artificial1]",2021,"Estudios Sobre el Mensaje Periodistico","10.5209/ESMP.69708","Universidad de Castilla-La Mancha, Spain","Artificial intelligence; Code of ethics; Journalism; Journalistic ethics; Keyword. Delphi","AI",7,"Spain"
50,"Sangüesa R.","Intel·ligència artificial i transparència algorítmica: ""It's complicated""",2018,"BiD","10.1344/BID2018.41.11","DESISLAB, Laboratori d'innovació Social Escola Elisava de Disseny i Enginyeria, Spain","Algorithms; Artificial intelligence; Information access; Information processing; Privacy","AI",1,"Spain"
